trial,testing,parameters,net_reward,age,success
1799,False,"{'a': 0.3, 'e': 0.07365665536433905}",-0.49999999999999994,10,0
1800,False,"{'a': 0.3, 'e': 0.07326484679668875}",-0.49999999999999994,10,0
1801,False,"{'a': 0.3, 'e': 0.07287495845048413}",0.95,2,1
1802,False,"{'a': 0.3, 'e': 0.07248698265641645}",0.95,2,1
1803,False,"{'a': 0.3, 'e': 0.07210091175716915}",1.0,1,1
1804,False,"{'a': 0.3, 'e': 0.07171673810762087}",1.0,1,1
1805,False,"{'a': 0.3, 'e': 0.0713344540750458}",-0.49999999999999994,10,0
1806,False,"{'a': 0.3, 'e': 0.07095405203931075}",1.0,1,1
1807,False,"{'a': 0.3, 'e': 0.07057552439306979}",0.95,2,1
1808,False,"{'a': 0.3, 'e': 0.07019886354195552}",0.95,2,1
1809,False,"{'a': 0.3, 'e': 0.06982406190476789}",1.0,1,1
1810,False,"{'a': 0.3, 'e': 0.06945111191365982}",-0.49999999999999994,10,0
1811,False,"{'a': 0.3, 'e': 0.06908000601432035}",-0.49999999999999994,10,0
1812,False,"{'a': 0.3, 'e': 0.06871073666615464}",0.95,2,1
1813,False,"{'a': 0.3, 'e': 0.06834329634246146}",1.0,1,1
1814,False,"{'a': 0.3, 'e': 0.06797767753060778}",0.95,2,1
1815,False,"{'a': 0.3, 'e': 0.06761387273220068}",1.0,1,1
1816,False,"{'a': 0.3, 'e': 0.06725187446325645}",0.95,2,1
1817,False,"{'a': 0.3, 'e': 0.06689167525436714}",0.95,2,1
1818,False,"{'a': 0.3, 'e': 0.0665332676508642}",-0.49999999999999994,10,0
1819,False,"{'a': 0.3, 'e': 0.06617664421297977}",1.0,1,1
1820,False,"{'a': 0.3, 'e': 0.06582179751600499}",0.95,2,1
1821,False,"{'a': 0.3, 'e': 0.06546872015044598}",1.0,1,1
1822,False,"{'a': 0.3, 'e': 0.065117404722177}",1.0,1,1
1823,False,"{'a': 0.3, 'e': 0.0647678438525912}",1.0,1,1
1824,False,"{'a': 0.3, 'e': 0.06442003017874863}",0.95,2,1
1825,False,"{'a': 0.3, 'e': 0.06407395635352196}",-0.49999999999999994,10,0
1826,False,"{'a': 0.3, 'e': 0.06372961504573939}",0.95,2,1
1827,False,"{'a': 0.3, 'e': 0.06338699894032526}",0.95,2,1
1828,False,"{'a': 0.3, 'e': 0.06304610073843815}",0.95,2,1
1829,False,"{'a': 0.3, 'e': 0.06270691315760647}",-0.49999999999999994,10,0
1830,False,"{'a': 0.3, 'e': 0.0623694289318616}",0.95,2,1
1831,False,"{'a': 0.3, 'e': 0.062033640811868684}",1.0,1,1
1832,False,"{'a': 0.3, 'e': 0.061699541565054965}",0.95,2,1
1833,False,"{'a': 0.3, 'e': 0.06136712397573579}",0.95,2,1
1834,False,"{'a': 0.3, 'e': 0.06103638084523819}",1.0,1,1
1835,False,"{'a': 0.3, 'e': 0.06070730499202216}",-0.49999999999999994,10,0
1836,False,"{'a': 0.3, 'e': 0.06037988925179966}",0.95,2,1
1837,False,"{'a': 0.3, 'e': 0.06005412647765118}",-0.49999999999999994,10,0
1838,False,"{'a': 0.3, 'e': 0.05973000954014021}",0.95,2,1
1839,False,"{'a': 0.3, 'e': 0.059407531327425316}",-0.49999999999999994,10,0
1840,False,"{'a': 0.3, 'e': 0.05908668474537}",-0.49999999999999994,10,0
1841,False,"{'a': 0.3, 'e': 0.058767462717650404}",1.0,1,1
1842,False,"{'a': 0.3, 'e': 0.05844985818586068}",1.0,1,1
1843,False,"{'a': 0.3, 'e': 0.05813386410961637}",1.0,1,1
1844,False,"{'a': 0.3, 'e': 0.057819473466655405}",0.95,2,1
1845,False,"{'a': 0.3, 'e': 0.057506679252937176}",1.0,1,1
1846,False,"{'a': 0.3, 'e': 0.057195474482739275}",1.0,1,1
1847,False,"{'a': 0.3, 'e': 0.05688585218875233}",0.95,2,1
1848,False,"{'a': 0.3, 'e': 0.05657780542217257}",0.95,2,1
1849,False,"{'a': 0.3, 'e': 0.056271327252792505}",-0.49999999999999994,10,0
1850,False,"{'a': 0.3, 'e': 0.05596641076908941}",0.95,2,1
1851,False,"{'a': 0.3, 'e': 0.05566304907831184}",0.95,2,1
1852,False,"{'a': 0.3, 'e': 0.05536123530656418}",-0.49999999999999994,10,0
1853,False,"{'a': 0.3, 'e': 0.05506096259888908}",1.0,1,1
